40.70772125858519,-74.00885918382049|Alamo Drafthouse Lower Manhattan|001_alamo
40.752348893296656,-73.99463080480037|AMC 34th St|002_amc34
40.761497922630234,-73.97774240730645|MoMA|003_moma
40.756326329930914,-73.92394458538325|Museum of the Moving Image|004_mmi
40.722350630629634,-73.99293241661718|New Museum|005_newmus
40.75724509009232,-73.98896898146324|Regal Times Square|006_regal
40.746086860433785,-73.99976265272093|SVA Theater|007_sva
40.73962127568179,-74.00876378089686|Whitney Museum|008_whitney
40.75908022717983,-73.99542125514633|Yotel Rooftop Cinema|009_yotel
